TimeStamp,Open,High,Low,Close
2012-08-10 20:00:00,1.22937,1.23856,1.22562,1.23339
2012-08-17 20:00:00,1.23341,1.25898,1.22954,1.25124
2012-08-24 20:00:00,1.25124,1.26376,1.24654,1.25782
2012-08-31 20:00:00,1.25780,1.28086,1.25018,1.28045
2012-09-07 20:00:00,1.28048,1.31688,1.27553,1.31194
2012-09-14 20:00:00,1.31194,1.31720,1.29193,1.29852
2012-09-21 20:00:00,1.29854,1.29906,1.28288,1.28524
2012-09-28 20:00:00,1.28522,1.30715,1.28040,1.30282
2012-10-05 20:00:00,1.30282,1.30389,1.28254,1.29555
2012-10-12 20:00:00,1.29557,1.31394,1.28913,1.30208
2012-10-19 20:00:00,1.30206,1.30834,1.28828,1.29352
2012-10-26 20:00:00,1.29354,1.30205,1.28213,1.28308
2012-11-02 20:00:00,1.28308,1.28766,1.26902,1.27103
2012-11-09 21:00:00,1.27106,1.28021,1.26617,1.27371
2012-11-16 21:00:00,1.27368,1.29912,1.27364,1.29768
2012-11-23 21:00:00,1.29768,1.30276,1.28803,1.30046
2012-11-30 21:00:00,1.30049,1.31268,1.28763,1.29301
2012-12-07 21:00:00,1.29301,1.31736,1.28857,1.31564
2012-12-14 21:00:00,1.31567,1.33080,1.31441,1.31832
2012-12-21 21:00:00,1.31832,1.32838,1.31659,1.32159
2012-12-28 21:00:00,1.32160,1.32994,1.29976,1.30810
2013-01-04 21:00:00,1.30808,1.33660,1.30166,1.33366
2013-01-11 21:00:00,1.33366,1.34040,1.32566,1.33211
2013-01-18 21:00:00,1.33214,1.34792,1.32644,1.34595
2013-01-25 21:00:00,1.34595,1.37110,1.34146,1.36554
2013-02-01 21:00:00,1.36551,1.36600,1.33533,1.33660
2013-02-08 21:00:00,1.33660,1.35202,1.33064,1.33620
2013-02-15 21:00:00,1.33620,1.34342,1.31451,1.31873
2013-02-22 21:00:00,1.31870,1.33190,1.29666,1.30216
2013-03-01 21:00:00,1.30216,1.31345,1.29552,1.29982
2013-03-08 21:00:00,1.29982,1.31074,1.29116,1.30598
2013-03-15 20:00:00,1.30598,1.30780,1.28435,1.29844
2013-03-22 20:00:00,1.29843,1.30482,1.27510,1.28211
2013-03-29 20:00:00,1.28211,1.30400,1.27453,1.30091
2013-04-05 20:00:00,1.30091,1.31384,1.29684,1.31027
2013-04-12 20:00:00,1.31026,1.32016,1.30012,1.30592
2013-04-19 20:00:00,1.30595,1.30935,1.29543,1.30339
2013-04-26 20:00:00,1.30340,1.32428,1.30238,1.31176
2013-05-03 20:00:00,1.31174,1.31942,1.29355,1.29848
2013-05-10 20:00:00,1.29848,1.30293,1.27964,1.28271
2013-05-17 20:00:00,1.28271,1.29982,1.28194,1.29355
2013-05-24 20:00:00,1.29356,1.30614,1.28379,1.29962
2013-05-31 20:00:00,1.29962,1.33064,1.29554,1.32186
2013-06-07 20:00:00,1.32186,1.33902,1.31777,1.33467
2013-06-14 20:00:00,1.33468,1.34174,1.30987,1.31236
2013-06-21 20:00:00,1.31237,1.31508,1.29848,1.30162
2013-06-28 20:00:00,1.30161,1.30782,1.28062,1.28300
2013-07-05 20:00:00,1.28298,1.32074,1.27553,1.30674
2013-07-12 20:00:00,1.30674,1.31786,1.29934,1.31438
2013-07-19 20:00:00,1.31438,1.32970,1.31328,1.32822
2013-07-26 20:00:00,1.32822,1.33452,1.31891,1.32846
2013-08-02 20:00:00,1.32848,1.34006,1.32328,1.33448
2013-08-09 20:00:00,1.33448,1.33800,1.32054,1.33336
2013-08-16 20:00:00,1.33338,1.34520,1.32984,1.33848
2013-08-23 20:00:00,1.33846,1.33988,1.31732,1.32162
2013-08-30 20:00:00,1.32162,1.32274,1.31050,1.31755
2013-09-06 20:00:00,1.31755,1.33250,1.31618,1.33032
2013-09-13 20:00:00,1.33032,1.35688,1.32948,1.35234
2013-09-20 20:00:00,1.35233,1.35646,1.34619,1.35218
2013-09-27 20:00:00,1.35218,1.36464,1.34778,1.35532
2013-10-04 20:00:00,1.35535,1.36072,1.34856,1.35511
2013-10-11 20:00:00,1.35509,1.37044,1.34726,1.36841
2013-10-18 20:00:00,1.36841,1.38327,1.36510,1.38076
2013-10-25 20:00:00,1.38077,1.38178,1.34800,1.34897
2013-11-01 20:00:00,1.34895,1.35477,1.32950,1.33596
2013-11-08 21:00:00,1.33596,1.35060,1.33450,1.34908
2013-11-15 21:00:00,1.34908,1.35798,1.33992,1.35494
2013-11-22 21:00:00,1.35494,1.36218,1.34902,1.35844
2013-11-29 21:00:00,1.35844,1.37066,1.35244,1.37026
2013-12-06 21:00:00,1.37025,1.38108,1.36944,1.37366
2013-12-13 21:00:00,1.37366,1.38118,1.36250,1.36812
2013-12-20 21:00:00,1.36812,1.38942,1.36551,1.37406
2013-12-27 21:00:00,1.37406,1.38192,1.35826,1.35828
2014-01-03 21:00:00,1.35829,1.36874,1.35484,1.36650
2014-01-10 21:00:00,1.36650,1.36996,1.35173,1.35273
2014-01-17 21:00:00,1.35274,1.37398,1.35076,1.36761
2014-01-24 21:00:00,1.36760,1.37169,1.34790,1.34867
2014-01-31 21:00:00,1.34868,1.36453,1.34769,1.36386
2014-02-07 21:00:00,1.36389,1.37150,1.35623,1.36987
2014-02-14 21:00:00,1.36985,1.37734,1.36852,1.37378
2014-02-21 21:00:00,1.37378,1.38250,1.36432,1.38032
2014-02-28 21:00:00,1.38032,1.39154,1.37074,1.38721
2014-03-07 21:00:00,1.38724,1.39668,1.38338,1.39067
2014-03-14 20:00:00,1.39070,1.39477,1.37492,1.37974
2014-03-21 20:00:00,1.37972,1.38761,1.37050,1.37552
2014-03-28 20:00:00,1.37552,1.38206,1.36728,1.37032
2014-04-04 20:00:00,1.37034,1.39058,1.36964,1.38828
2014-04-11 20:00:00,1.38828,1.38862,1.37904,1.38125
2014-04-18 20:00:00,1.38121,1.38546,1.37850,1.38345
2014-04-25 20:00:00,1.38347,1.38894,1.37744,1.38714
2014-05-02 20:00:00,1.38712,1.39936,1.37452,1.37554
2014-05-09 20:00:00,1.37554,1.37750,1.36486,1.36984
2014-05-16 20:00:00,1.36982,1.37344,1.36158,1.36296
2014-05-23 20:00:00,1.36296,1.36686,1.35862,1.36311
2014-05-30 20:00:00,1.36311,1.36772,1.35034,1.36444
2014-06-06 20:00:00,1.36442,1.36692,1.35123,1.35392
2014-06-13 20:00:00,1.35391,1.36437,1.35130,1.35974
2014-06-20 20:00:00,1.35974,1.36512,1.35741,1.36474
2014-06-27 20:00:00,1.36474,1.37006,1.35856,1.35936
2014-07-04 20:00:00,1.35936,1.36506,1.35762,1.36080
2014-07-11 20:00:00,1.36082,1.36405,1.34910,1.35243
2014-07-18 20:00:00,1.35243,1.35491,1.34214,1.34315
2014-07-25 20:00:00,1.34316,1.34448,1.33671,1.34223
2014-08-01 20:00:00,1.34226,1.34333,1.33332,1.34124
2014-08-08 20:00:00,1.34123,1.34174,1.33361,1.33980
2014-08-15 20:00:00,1.33982,1.34016,1.32209,1.32432
2014-08-22 20:00:00,1.32428,1.32472,1.31340,1.31394
2014-08-29 20:00:00,1.31390,1.31600,1.29202,1.29510
2014-09-05 20:00:00,1.29512,1.29792,1.28594,1.29482
2014-09-12 20:00:00,1.29478,1.29952,1.28310,1.28368
2014-09-19 20:00:00,1.28368,1.29016,1.26771,1.26833
2014-09-26 20:00:00,1.26830,1.27151,1.25006,1.25114
2014-10-03 20:00:00,1.25118,1.27915,1.25088,1.26133
2014-10-10 20:00:00,1.26129,1.28864,1.26124,1.27600
2014-10-17 20:00:00,1.27604,1.28403,1.26138,1.26681
