DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
02/02/2015 15:00:00,USD,ISM Prices Paid,United States,2,35.000,38.500,40.000
02/02/2015 15:00:00,USD,ISM Manufacturing PMI,United States,3,53.500,55.500,54.500
02/02/2015 15:00:00,USD,Construction Spending (MoM),United States,2,0.800,-0.200,0.700
02/02/2015 16:30:03,USD,3-Month Bill Auction,United States,1,0.015,0.020,
02/02/2015 16:30:25,USD,6-Month Bill Auction,United States,1,0.065,0.075,
02/03/2015 03:00:00,USD,Fed's Bullard speech,United States,1,,,
02/03/2015 10:00:00,EUR,Producer Price Index (YoY),European Monetary Union,1,-2.600,-1.600,-2.500
02/03/2015 10:00:00,EUR,Producer Price Index (MoM),European Monetary Union,1,-1.000,-0.300,-0.700
02/03/2015 13:55:00,USD,Redbook Index (MoM),United States,1,-3.500,-3.600,
02/03/2015 13:55:00,USD,Redbook Index (YoY),United States,1,3.800,3.200,
02/03/2015 14:45:00,USD,ISM-NY Business Conditions Index,United States,1,44.500,70.800,
02/03/2015 15:00:00,USD,Factory Orders (MoM),United States,2,-3.500,-1.700,-2.200
02/03/2015 15:00:00,USD,Fed's Bullard speech,United States,1,,,
02/03/2015 16:30:00,USD,52-Week Bill Auction,United States,1,0.205,0.250,
02/03/2015 16:30:17,USD,4-Week Bill Auction,United States,1,0.020,0.005,
02/03/2015 16:45:00,USD,Fed Minneapolis's Kocherlakota speech,United States,1,,,
02/03/2015 20:56:06,USD,Total Vehicle Sales,United States,1,16.660,16.900,16.600
02/04/2015 08:00:00,EUR,Non-Monetary Policy ECB Meeting,European Monetary Union,2,,,
02/04/2015 08:50:00,EUR,Markit PMI Composite,France,1,49.300,49.500,
02/04/2015 08:50:00,EUR,Markit Services PMI,France,1,49.300,49.500,49.500
02/04/2015 08:55:00,EUR,Markit PMI Composite,Germany,1,53.500,52.600,
02/04/2015 08:55:00,EUR,Markit Services PMI,Germany,1,54.000,52.700,52.700
02/04/2015 09:00:00,EUR,Juncker - Tsipras Meeting,European Monetary Union,3,,,
